element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
34,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,73,0,0,0,4,0,0,0,0,0,0,0,-14,0.0,0.7,0.0,0.0,5,1,0,5,1,0.00,0.00,0.00,3.55,45,0,38472,0,0,34
34,20,1,2,True,2026-08-31T19:00:00Z,0,1,2,False,90,0,0,0,1,0,0,0,0,0,0,0,6,11.0,0.8,0.0,1.2,3,8,1,4,1,0.00,0.01,0.01,1.04,45,-3229,41549,1831,5060,34
35,7,5,1,False,2026-08-23T13:00:00Z,4,0,1,False,16,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.5,0.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.22,50,0,5822,0,0,35
35,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-349,6973,636,985,35
36,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,81,0,0,0,4,0,0,0,0,0,0,0,-9,9.2,0.8,3.0,1.3,7,2,2,9,1,0.03,0.00,0.03,3.62,45,0,71952,0,0,36
36,20,1,1,True,2026-08-31T19:00:00Z,0,1,2,False,90,0,0,0,1,0,0,0,1,0,0,0,-5,4.8,0.5,12.0,1.7,5,2,3,8,1,0.07,0.00,0.07,1.04,45,-6312,72655,2546,8858,36
37,7,5,-2,False,2026-08-23T13:00:00Z,4,0,1,False,90,0,0,0,4,1,0,0,0,0,0,0,-13,1.8,0.1,0.0,0.2,3,1,0,3,1,0.00,0.00,0.00,3.77,45,0,24630,0,0,37
37,20,1,2,True,2026-08-31T19:00:00Z,0,1,2,False,90,0,0,0,1,0,0,0,0,0,0,0,10,15.0,1.2,0.0,1.6,6,1,1,7,1,0.00,0.08,0.08,1.04,45,-2236,27172,1775,4011,37
38,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,157304,0,0,38
38,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-6584,167046,7339,13923,38
39,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,29043,0,0,39
39,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-7238,21591,0,7238,39
41,7,5,2,False,2026-08-23T13:00:00Z,4,0,1,False,85,0,0,0,4,0,0,0,0,0,0,0,4,0.0,16.3,8.0,2.2,3,3,1,7,1,0.13,0.09,0.22,3.62,60,0,120830,0,0,41
41,20,1,2,True,2026-08-31T19:00:00Z,0,1,2,False,90,0,0,0,1,0,0,0,0,0,0,0,9,5.0,13.2,9.0,2.7,0,4,1,5,1,0.04,0.02,0.06,1.04,60,-16866,114718,5020,21886,41
44,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,12940,0,0,44
