id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,68
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,69
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,69
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,70
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,70
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,71
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,71
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,72
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,72
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,73
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,73
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,74
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,74
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,75
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,75
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,76
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,76
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,77
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,77
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,78
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,78
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,79
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,79
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,80
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,80
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,81
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,81
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,84
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,84
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,85
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,85
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,86
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,86
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,87
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,87
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,88
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,88
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,89
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,89
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,90
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,90
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,91
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,91
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,92
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,92
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,93
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,93
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,94
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,94
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,95
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,95
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,96
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,96
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,97
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,97
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,98
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,98
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,99
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,99
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,100
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,100
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,391
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,391
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,685
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,685
